,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,8,10,5,475,0.5,47.5,95.0,2.0,43884,80,6,10,475,5,-0.40689422938557973,2.5227442221905942,0.8111071056538127,0.0
1,9,10,5,742,0.5,74.2,148.4,2.0,80,43884,6,10,742,5,2.5227442221905942,-0.40689422938557973,0.8111071056538127,3.3993463423951895
2,12,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.24413653763134782,-0.40689422938557973,-0.6488856845230501,0.0
3,19,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.40689422938557973,0.24413653763134782,-0.6488856845230501,-0.4249182927993987
4,20,10,5,475,0.5,47.5,95.0,2.0,36290,80,6,10,475,5,0.24413653763134782,2.5227442221905942,0.8111071056538127,0.0
5,21,10,5,742,0.5,74.2,148.4,2.0,80,36290,6,10,742,5,2.5227442221905942,0.24413653763134782,0.8111071056538127,3.3993463423951895
6,27,10,6,541,0.6,54.1,90.16666666666667,1.6666666666666667,35546,80,6,10,541,6,-0.40689422938557973,2.5227442221905942,-0.6488856845230501,-0.4249182927993987
7,28,10,4,676,0.4,67.6,169.0,2.5,80,35546,6,10,676,4,2.5227442221905942,-0.40689422938557973,-0.6488856845230501,3.3993463423951895
8,36,10,6,541,0.6,54.1,90.16666666666667,1.6666666666666667,43890,80,6,10,541,6,-0.40689422938557973,2.5227442221905942,0.8111071056538127,0.0
9,37,10,4,676,0.4,67.6,169.0,2.5,80,43890,6,10,676,4,2.5227442221905942,-0.40689422938557973,0.8111071056538127,3.3993463423951895
10,40,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.24413653763134782,-0.40689422938557973,-0.6488856845230501,0.0
11,43,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.40689422938557973,0.24413653763134782,-0.6488856845230501,-0.4249182927993987
12,44,10,5,475,0.5,47.5,95.0,2.0,36296,80,6,10,475,5,0.24413653763134782,2.5227442221905942,0.8111071056538127,0.0
13,45,10,5,742,0.5,74.2,148.4,2.0,80,36296,6,10,742,5,2.5227442221905942,0.24413653763134782,0.8111071056538127,3.3993463423951895
14,48,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.08137884587711594,2.5227442221905942,2.2710998958306754,-0.4249182927993987
15,49,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.5227442221905942,-0.08137884587711594,2.2710998958306754,-0.4249182927993987
16,57,10,6,553,0.6,55.3,92.16666666666667,1.6666666666666667,50964,80,6,10,553,6,-0.08137884587711594,2.5227442221905942,2.2710998958306754,0.0
17,59,10,6,816,0.6,81.6,136.0,1.6666666666666667,80,50964,6,10,816,6,2.5227442221905942,-0.08137884587711594,2.2710998958306754,3.3993463423951895
18,67,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,-0.40689422938557973,2.5227442221905942,-0.6488856845230501,-0.4249182927993987
19,68,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,2.5227442221905942,-0.40689422938557973,-0.6488856845230501,3.3993463423951895
20,89,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,-0.7324096128940435,2.5227442221905942,-0.6488856845230501,-0.4249182927993987
21,90,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,2.5227442221905942,-0.7324096128940435,-0.6488856845230501,3.3993463423951895
22,107,10,7,627,0.7,62.7,89.57142857142857,1.4285714285714286,50972,80,6,10,627,7,-0.08137884587711594,2.5227442221905942,2.2710998958306754,0.0
23,109,10,5,742,0.5,74.2,148.4,2.0,80,50972,6,10,742,5,2.5227442221905942,-0.08137884587711594,2.2710998958306754,3.3993463423951895
24,115,10,4,409,0.4,40.9,102.25,2.5,33140,80,6,10,409,4,-0.7324096128940435,2.5227442221905942,-0.6488856845230501,-0.4249182927993987
25,116,10,4,676,0.4,67.6,169.0,2.5,80,33140,6,10,676,4,2.5227442221905942,-0.7324096128940435,-0.6488856845230501,3.3993463423951895
